OBJECTID,GEOID_20,GROSS_ACRES,ACRES_LAND,ACRES_WATER,TRBL_STR,NAME,TRACT_NUMB,TRACT_LABEL,WATER,VILLNUMB,VILLNAME,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,COUNCIL_DIST_13,COUNCIL_DIST_24,Shape__Area,Shape__Length
7565,530330105023002,1.98183688463562,1.98178516,0,10502.3002,Block 3002,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,86329.1600036621,1620.8157231464
7566,530330105023003,6.05795957800646,6.05803552,0,10502.3003,Block 3003,10502,105.02,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,263885.774795532,2178.05670325948
7567,530330106023006,4.78435183163121,4.78445439,0,10602.3006,Block 3006,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,208407.199432373,1951.08283852929
7568,530330105022001,7.17655555515763,7.17668158,0,10502.2001,Block 2001,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,312612.010421753,2592.04616475187
7569,530330105023001,3.27452626047849,3.27464051,0,10502.3001,Block 3001,10502,105.02,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,142638.934463501,1991.23141188719
7570,530330106023007,4.78974947935621,4.78989071,0,10602.3007,Block 3007,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,208642.321884155,1952.4257109138
7571,530330105022000,7.8529546513152,7.85325611,0,10502.2000,Block 2000,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,342076.072891235,2622.77939645563
7572,530330106023000,5.54508414609018,5.54529186,0,10602.3000,Block 3000,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,241544.831588745,2052.4304317265
7573,530330106023008,4.86647964840175,4.86649337,0,10602.3008,Block 3008,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,211984.701431274,1962.5540106919
7574,530330105023008,5.3868425757099,5.38689731,0,10502.3008,Block 3008,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,234651.801223755,2021.84765677857
7575,530330105011002,4.68667830824631,4.68684776,0,10501.1002,Block 1002,10501,105.01,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,204152.523712158,1936.31403724949
7576,530330105024002,4.81793698123778,4.81806072,0,10502.4002,Block 4002,10502,105.02,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,209870.174362183,1949.59561630031
7577,530330105024003,5.02981577866239,5.03007714,0,10502.4003,Block 4003,10502,105.02,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,219099.651702881,1962.8733831021
7578,530330105024004,5.31008228337113,5.31029464,0,10502.4004,Block 4004,10502,105.02,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,231308.109481812,2037.8918686933
7579,530330105011008,4.82528972722844,4.82547388,0,10501.1008,Block 1008,10501,105.01,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,210190.461288452,1962.7454066789
